Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Sales_Volume,Sales_Classification
X3,2024,Africa,Black,Petrol,Manual,1.6,115436,7200,High
M5,2010,North America,Blue,Electric,Automatic,4.8,142621,145,Low
X3,2016,Europe,Silver,Hybrid,Manual,2.7,123668,3735,Low
X3,2023,South America,Red,Hybrid,Automatic,3.8,124021,6238,Low
i3,2014,Asia,Black,Petrol,Manual,1.9,161373,5974,Low
X6,2024,South America,Grey,Diesel,Automatic,4.3,60351,4363,Low
M5,2012,South America,Black,Electric,Manual,2,31072,9959,High
3 Series,2012,Europe,Red,Electric,Manual,2.3,176749,4569,Low
X6,2023,Asia,White,Diesel,Manual,3,25072,2004,Low
X6,2019,North America,Blue,Electric,Manual,3.5,161383,2112,Low
5 Series,2010,South America,Grey,Petrol,Manual,1.9,16630,7151,High
5 Series,2020,Africa,Red,Petrol,Automatic,1.9,45435,2582,Low
5 Series,2012,South America,Black,Petrol,Manual,4.1,24880,1580,Low
X5,2014,Middle East,Black,Diesel,Automatic,3.6,175490,5584,Low
X5,2019,South America,Black,Diesel,Automatic,2.4,162193,3845,Low
3 Series,2019,North America,Red,Petrol,Manual,3.9,8679,4933,Low
M3,2021,Asia,Red,Hybrid,Automatic,1.9,2224,4759,Low
M5,2023,Middle East,Silver,Hybrid,Automatic,4.3,92945,7148,High
3 Series,2014,South America,Grey,Electric,Automatic,2.9,84423,7909,High
3 Series,2019,South America,Grey,Hybrid,Manual,4.3,131888,5336,Low
7 Series,2014,Europe,Grey,Hybrid,Automatic,2.2,154250,6953,Low
X1,2013,Europe,Black,Hybrid,Manual,3.5,6766,7080,High
3 Series,2024,Middle East,Grey,Hybrid,Automatic,4,118414,6783,Low
M5,2019,South America,Blue,Hybrid,Automatic,4.3,163173,949,Low
X3,2012,Middle East,Blue,Hybrid,Automatic,4.5,785,4380,Low
7 Series,2023,Europe,Blue,Petrol,Manual,4.2,176185,8051,High
X5,2024,Asia,Silver,Electric,Manual,2.2,47268,1024,Low
7 Series,2016,North America,Red,Electric,Manual,1.7,183942,9514,High
M3,2022,Asia,White,Petrol,Automatic,3.3,116941,4339,Low
i3,2012,North America,Black,Petrol,Automatic,4.6,121573,4942,Low
7 Series,2017,Middle East,Red,Petrol,Manual,3,156943,5417,Low
i3,2017,Asia,White,Petrol,Manual,2.2,126493,4190,Low
7 Series,2018,Asia,Grey,Diesel,Manual,4.5,127347,5756,Low
3 Series,2024,Africa,Blue,Diesel,Automatic,3.5,163782,7880,High
M3,2024,Europe,Blue,Hybrid,Automatic,3.5,8562,2454,Low
5 Series,2013,Asia,Red,Hybrid,Automatic,3.4,162281,9919,High
3 Series,2013,Europe,Silver,Petrol,Automatic,4.8,426,9148,High
3 Series,2010,Asia,Black,Electric,Manual,2.2,43022,4221,Low
X1,2022,Middle East,Silver,Petrol,Manual,4.1,25765,3254,Low
i8,2016,Asia,Black,Diesel,Manual,1.8,126148,6303,Low
X1,2011,Africa,White,Hybrid,Manual,3.5,134220,9454,High
i8,2011,North America,Silver,Hybrid,Automatic,1.5,56034,6465,Low
X1,2010,Asia,White,Hybrid,Automatic,4.3,170747,8593,High
M5,2020,Europe,Black,Petrol,Automatic,1.5,195527,8489,High
i8,2013,Asia,Black,Diesel,Automatic,1.9,11382,3855,Low
X5,2016,Africa,Blue,Petrol,Automatic,1.6,110493,1172,Low
X3,2017,Middle East,Black,Petrol,Automatic,5,153408,4348,Low
i3,2012,South America,Black,Diesel,Automatic,3,43311,1327,Low
X1,2021,Middle East,Silver,Diesel,Automatic,2.7,23613,6790,Low
X5,2021,South America,Blue,Diesel,Manual,4.3,114154,438,Low
3 Series,2019,South America,Blue,Electric,Automatic,2.9,68314,4324,Low
3 Series,2022,Europe,Silver,Hybrid,Manual,4.3,94347,4308,Low
i8,2010,Europe,Grey,Hybrid,Manual,3.3,107295,7998,High
X5,2013,Middle East,Blue,Diesel,Automatic,1.7,170536,3386,Low
X6,2019,South America,Silver,Diesel,Automatic,2.8,26014,2116,Low
i3,2021,South America,Red,Hybrid,Automatic,3.8,78022,9716,High
X1,2019,Asia,Blue,Electric,Manual,1.9,25178,3071,Low
5 Series,2019,South America,Red,Electric,Automatic,1.7,168215,8682,High
i8,2024,Asia,White,Diesel,Automatic,2.6,195630,9346,High
X3,2013,Middle East,Red,Hybrid,Manual,4.9,99941,7116,High
X5,2019,Europe,Silver,Electric,Automatic,4.2,52896,6139,Low
X6,2011,Europe,Blue,Hybrid,Manual,4.7,153636,4492,Low
X3,2013,Middle East,Red,Petrol,Automatic,2.9,83455,2032,Low
3 Series,2018,Europe,Silver,Hybrid,Manual,5,146453,8114,High
X3,2013,Europe,Red,Diesel,Manual,3.6,28625,1414,Low
i8,2023,South America,Black,Electric,Manual,3.4,38105,9361,High
X1,2014,Europe,Blue,Petrol,Automatic,3.6,67463,889,Low
X6,2017,South America,Blue,Electric,Manual,3.7,165543,3706,Low
X1,2013,South America,Red,Diesel,Manual,3.4,48270,9722,High
i8,2014,Asia,Grey,Diesel,Manual,3.9,6024,443,Low
M5,2020,Middle East,Black,Diesel,Automatic,4.2,184785,7867,High
5 Series,2019,Europe,Grey,Electric,Manual,1.5,44934,3480,Low
7 Series,2019,North America,Black,Electric,Automatic,3.1,6082,6867,Low
X3,2012,Asia,Grey,Diesel,Automatic,4.5,26112,1832,Low
M5,2021,Europe,Red,Petrol,Manual,4.4,4862,8378,High
5 Series,2016,Europe,White,Hybrid,Automatic,1.7,82403,8513,High
X1,2017,Middle East,White,Hybrid,Manual,3.4,210,1739,Low
i8,2023,Middle East,Blue,Diesel,Manual,3.6,103413,2175,Low
7 Series,2022,Middle East,Black,Electric,Automatic,2.9,41245,9211,High
3 Series,2022,Europe,Grey,Electric,Automatic,4.8,38076,3579,Low
X6,2017,South America,Red,Diesel,Manual,3.3,68071,3136,Low
X3,2018,South America,Blue,Petrol,Manual,4.7,108410,2783,Low
M5,2019,Asia,Black,Diesel,Manual,2.7,25335,8884,High
7 Series,2024,Middle East,Silver,Diesel,Manual,3.3,126765,2166,Low
M5,2023,Europe,Silver,Diesel,Manual,1.8,68205,2335,Low
X1,2021,North America,Black,Petrol,Manual,3.6,190680,2658,Low
X6,2012,Middle East,Blue,Diesel,Automatic,2,155057,5906,Low
5 Series,2017,Asia,Red,Hybrid,Automatic,2.8,123880,6597,Low
i8,2017,Africa,White,Petrol,Manual,3.2,36243,923,Low
X5,2011,Asia,Red,Petrol,Manual,4.5,41449,8579,High
3 Series,2014,South America,White,Diesel,Automatic,4.6,35372,7406,High
3 Series,2015,Europe,Blue,Diesel,Automatic,2.6,119025,9151,High
M3,2014,Europe,Grey,Diesel,Manual,4.7,150277,2478,Low
X3,2011,Middle East,Silver,Electric,Manual,1.9,157187,7919,High
5 Series,2012,Middle East,Black,Petrol,Manual,2.8,97047,4691,Low
i3,2020,Middle East,Black,Electric,Manual,4.9,161333,9775,High
X3,2021,Europe,Silver,Electric,Manual,1.8,70102,8486,High
X1,2022,South America,Red,Hybrid,Automatic,2.1,116255,4215,Low
X1,2022,Asia,Red,Hybrid,Manual,3.8,91370,9772,High
X3,2010,Europe,Blue,Diesel,Automatic,4.6,86833,213,Low
X5,2018,Europe,Red,Electric,Automatic,4.9,139262,9619,High
5 Series,2012,Middle East,Blue,Petrol,Automatic,3.8,28691,4976,Low
X5,2011,North America,Grey,Diesel,Automatic,2.1,188804,2029,Low
i3,2017,Asia,Silver,Diesel,Automatic,4.9,18561,6181,Low
M5,2017,Asia,Grey,Hybrid,Automatic,1.8,44575,3292,Low
7 Series,2011,Middle East,Black,Hybrid,Manual,4.1,5242,5129,Low
7 Series,2022,Middle East,Black,Petrol,Manual,1.8,55480,7516,High
M5,2024,Middle East,Black,Electric,Automatic,2,6521,3491,Low
7 Series,2021,Africa,Black,Hybrid,Automatic,3.1,29581,9469,High
X1,2023,Africa,Red,Electric,Automatic,3.3,6320,9172,High
X1,2022,Asia,Blue,Electric,Manual,1.5,16082,3234,Low
X3,2023,Asia,Red,Petrol,Manual,4.9,115576,7587,High
7 Series,2023,Middle East,Blue,Diesel,Automatic,2.4,56566,3328,Low
M5,2013,Asia,Silver,Electric,Manual,3.4,57871,740,Low
M5,2015,South America,Red,Hybrid,Manual,4.1,6318,9590,High
X1,2023,South America,Red,Electric,Automatic,2.5,91220,4142,Low
M5,2017,Middle East,Blue,Hybrid,Manual,2.1,98677,6663,Low
X6,2013,Asia,Black,Electric,Manual,4.3,156900,2190,Low
i3,2021,Africa,Black,Electric,Automatic,3.2,82151,6510,Low
i8,2013,Middle East,Black,Hybrid,Automatic,4.5,68628,7578,High
X6,2023,Middle East,Grey,Petrol,Automatic,4.2,199130,7414,High
i3,2018,Europe,Grey,Petrol,Manual,3.5,43351,5823,Low
X5,2021,Africa,Silver,Petrol,Manual,3.5,2968,9863,High
7 Series,2012,North America,Black,Petrol,Automatic,5,186776,4729,Low
X1,2019,Asia,Grey,Hybrid,Manual,1.9,189270,9018,High
3 Series,2016,North America,Blue,Petrol,Automatic,2,102663,9838,High
i3,2010,Middle East,White,Petrol,Automatic,4.6,4950,6133,Low
X1,2022,Africa,Grey,Hybrid,Automatic,2,90780,3838,Low
X3,2012,Asia,Grey,Petrol,Automatic,2,40952,1191,Low
i8,2012,Asia,Blue,Hybrid,Automatic,4.9,57940,1086,Low
7 Series,2023,Africa,Silver,Electric,Automatic,3.3,174658,6879,Low
M5,2020,Asia,Grey,Electric,Manual,4.1,188595,1336,Low
