Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Sales_Volume,Sales_Classification,Prediction_Price_USD,Price_USD
X3,2024,Africa,Black,Petrol,Manual,1.6,115436,7200,High,74952.76368,70567
M5,2010,North America,Blue,Electric,Automatic,4.8,142621,145,Low,74815.43668,51978
X3,2016,Europe,Silver,Hybrid,Manual,2.7,123668,3735,Low,74684.36415,112796
X3,2023,South America,Red,Hybrid,Automatic,3.8,124021,6238,Low,74958.64248,33679
i3,2014,Asia,Black,Petrol,Manual,1.9,161373,5974,Low,75171.73504,80739
X6,2024,South America,Grey,Diesel,Automatic,4.3,60351,4363,Low,74357.19269,111041
M5,2012,South America,Black,Electric,Manual,2,31072,9959,High,74087.96215,36269
3 Series,2012,Europe,Red,Electric,Manual,2.3,176749,4569,Low,75100.6163,94523
X6,2023,Asia,White,Diesel,Manual,3,25072,2004,Low,75726.44699,115597
X6,2019,North America,Blue,Electric,Manual,3.5,161383,2112,Low,75123.34096,79167
5 Series,2010,South America,Grey,Petrol,Manual,1.9,16630,7151,High,74247.85344,80176
5 Series,2020,Africa,Red,Petrol,Automatic,1.9,45435,2582,Low,75675.04166,86954
5 Series,2012,South America,Black,Petrol,Manual,4.1,24880,1580,Low,75027.06925,51607
X5,2014,Middle East,Black,Diesel,Automatic,3.6,175490,5584,Low,74082.53707,113530
X5,2019,South America,Black,Diesel,Automatic,2.4,162193,3845,Low,74923.37621,64161
3 Series,2019,North America,Red,Petrol,Manual,3.9,8679,4933,Low,75383.4517,67199
M3,2021,Asia,Red,Hybrid,Automatic,1.9,2224,4759,Low,75879.88015,32286
M5,2023,Middle East,Silver,Hybrid,Automatic,4.3,92945,7148,High,73793.82897,51189
3 Series,2014,South America,Grey,Electric,Automatic,2.9,84423,7909,High,74717.7928,51767
3 Series,2019,South America,Grey,Hybrid,Manual,4.3,131888,5336,Low,74235.9853,113938
7 Series,2014,Europe,Grey,Hybrid,Automatic,2.2,154250,6953,Low,74758.78745,118649
X1,2013,Europe,Black,Hybrid,Manual,3.5,6766,7080,High,74714.71977,62988
3 Series,2024,Middle East,Grey,Hybrid,Automatic,4,118414,6783,Low,74269.75432,45828
M5,2019,South America,Blue,Hybrid,Automatic,4.3,163173,949,Low,74564.41255,35173
X3,2012,Middle East,Blue,Hybrid,Automatic,4.5,785,4380,Low,74551.86202,96192
7 Series,2023,Europe,Blue,Petrol,Manual,4.2,176185,8051,High,75970.45784,113541
X5,2024,Asia,Silver,Electric,Manual,2.2,47268,1024,Low,75833.08174,38093
7 Series,2016,North America,Red,Electric,Manual,1.7,183942,9514,High,75590.50706,38486
M3,2022,Asia,White,Petrol,Automatic,3.3,116941,4339,Low,76483.93529,90495
i3,2012,North America,Black,Petrol,Automatic,4.6,121573,4942,Low,74841.20067,47645
7 Series,2017,Middle East,Red,Petrol,Manual,3,156943,5417,Low,74876.96242,73189
i3,2017,Asia,White,Petrol,Manual,2.2,126493,4190,Low,75769.34365,31735
7 Series,2018,Asia,Grey,Diesel,Manual,4.5,127347,5756,Low,75540.88123,98613
3 Series,2024,Africa,Blue,Diesel,Automatic,3.5,163782,7880,High,76045.6265,77015
M3,2024,Europe,Blue,Hybrid,Automatic,3.5,8562,2454,Low,75993.83552,56048
5 Series,2013,Asia,Red,Hybrid,Automatic,3.4,162281,9919,High,75199.75713,105748
3 Series,2013,Europe,Silver,Petrol,Automatic,4.8,426,9148,High,75198.52335,50352
3 Series,2010,Asia,Black,Electric,Manual,2.2,43022,4221,Low,75697.30288,39866
X1,2022,Middle East,Silver,Petrol,Manual,4.1,25765,3254,Low,75216.20367,109849
i8,2016,Asia,Black,Diesel,Manual,1.8,126148,6303,Low,75784.4043,46290
X1,2011,Africa,White,Hybrid,Manual,3.5,134220,9454,High,74797.23425,96798
i8,2011,North America,Silver,Hybrid,Automatic,1.5,56034,6465,Low,75218.59845,47408
X1,2010,Asia,White,Hybrid,Automatic,4.3,170747,8593,High,75504.27949,113550
M5,2020,Europe,Black,Petrol,Automatic,1.5,195527,8489,High,74363.46069,39168
i8,2013,Asia,Black,Diesel,Automatic,1.9,11382,3855,Low,76015.26244,49977
X5,2016,Africa,Blue,Petrol,Automatic,1.6,110493,1172,Low,75129.62126,76759
X3,2017,Middle East,Black,Petrol,Automatic,5,153408,4348,Low,74386.2744,72151
i3,2012,South America,Black,Diesel,Automatic,3,43311,1327,Low,75050.987,71884
X1,2021,Middle East,Silver,Diesel,Automatic,2.7,23613,6790,Low,75696.2542,71055
X5,2021,South America,Blue,Diesel,Manual,4.3,114154,438,Low,75198.17842,66604
3 Series,2019,South America,Blue,Electric,Automatic,2.9,68314,4324,Low,76299.94925,102257
3 Series,2022,Europe,Silver,Hybrid,Manual,4.3,94347,4308,Low,75244.00327,53263
i8,2010,Europe,Grey,Hybrid,Manual,3.3,107295,7998,High,73647.71085,76584
X5,2013,Middle East,Blue,Diesel,Automatic,1.7,170536,3386,Low,74644.32277,93484
X6,2019,South America,Silver,Diesel,Automatic,2.8,26014,2116,Low,75007.19223,44925
i3,2021,South America,Red,Hybrid,Automatic,3.8,78022,9716,High,74677.95694,52168
X1,2019,Asia,Blue,Electric,Manual,1.9,25178,3071,Low,76830.6911,109083
5 Series,2019,South America,Red,Electric,Automatic,1.7,168215,8682,High,75614.58664,63188
i8,2024,Asia,White,Diesel,Automatic,2.6,195630,9346,High,76527.9499,108017
X3,2013,Middle East,Red,Hybrid,Manual,4.9,99941,7116,High,73441.09134,96476
X5,2019,Europe,Silver,Electric,Automatic,4.2,52896,6139,Low,75237.92047,112242
X6,2011,Europe,Blue,Hybrid,Manual,4.7,153636,4492,Low,74003.75013,77215
X3,2013,Middle East,Red,Petrol,Automatic,2.9,83455,2032,Low,74332.3412,92732
3 Series,2018,Europe,Silver,Hybrid,Manual,5,146453,8114,High,74730.25103,87125
X3,2013,Europe,Red,Diesel,Manual,3.6,28625,1414,Low,74829.31169,97307
i8,2023,South America,Black,Electric,Manual,3.4,38105,9361,High,75479.09389,104168
X1,2014,Europe,Blue,Petrol,Automatic,3.6,67463,889,Low,75938.19267,38703
X6,2017,South America,Blue,Electric,Manual,3.7,165543,3706,Low,74853.77978,41542
X1,2013,South America,Red,Diesel,Manual,3.4,48270,9722,High,75039.33686,108898
i8,2014,Asia,Grey,Diesel,Manual,3.9,6024,443,Low,75085.8374,86094
M5,2020,Middle East,Black,Diesel,Automatic,4.2,184785,7867,High,73846.65377,34972
5 Series,2019,Europe,Grey,Electric,Manual,1.5,44934,3480,Low,75216.24101,117922
7 Series,2019,North America,Black,Electric,Automatic,3.1,6082,6867,Low,76387.38027,104414
X3,2012,Asia,Grey,Diesel,Automatic,4.5,26112,1832,Low,74921.74506,53379
M5,2021,Europe,Red,Petrol,Manual,4.4,4862,8378,High,74140.25709,94668
5 Series,2016,Europe,White,Hybrid,Automatic,1.7,82403,8513,High,75540.55286,68074
X1,2017,Middle East,White,Hybrid,Manual,3.4,210,1739,Low,75016.81769,59058
i8,2023,Middle East,Blue,Diesel,Manual,3.6,103413,2175,Low,75508.13941,61949
7 Series,2022,Middle East,Black,Electric,Automatic,2.9,41245,9211,High,75631.54486,95922
3 Series,2022,Europe,Grey,Electric,Automatic,4.8,38076,3579,Low,75314.22094,53398
X6,2017,South America,Red,Diesel,Manual,3.3,68071,3136,Low,74349.67965,99098
X3,2018,South America,Blue,Petrol,Manual,4.7,108410,2783,Low,75246.75162,106746
M5,2019,Asia,Black,Diesel,Manual,2.7,25335,8884,High,74842.62425,108928
7 Series,2024,Middle East,Silver,Diesel,Manual,3.3,126765,2166,Low,75646.12847,65636
M5,2023,Europe,Silver,Diesel,Manual,1.8,68205,2335,Low,74942.99378,114114
X1,2021,North America,Black,Petrol,Manual,3.6,190680,2658,Low,75505.51674,106459
X6,2012,Middle East,Blue,Diesel,Automatic,2,155057,5906,Low,74384.78295,32239
5 Series,2017,Asia,Red,Hybrid,Automatic,2.8,123880,6597,Low,75692.46478,44006
i8,2017,Africa,White,Petrol,Manual,3.2,36243,923,Low,75505.83334,50424
X5,2011,Asia,Red,Petrol,Manual,4.5,41449,8579,High,74351.72574,61140
3 Series,2014,South America,White,Diesel,Automatic,4.6,35372,7406,High,75620.19804,91803
3 Series,2015,Europe,Blue,Diesel,Automatic,2.6,119025,9151,High,75806.89444,34546
M3,2014,Europe,Grey,Diesel,Manual,4.7,150277,2478,Low,74372.39904,81958
X3,2011,Middle East,Silver,Electric,Manual,1.9,157187,7919,High,74230.10215,66636
5 Series,2012,Middle East,Black,Petrol,Manual,2.8,97047,4691,Low,74517.82929,69061
i3,2020,Middle East,Black,Electric,Manual,4.9,161333,9775,High,74311.63577,59788
X3,2021,Europe,Silver,Electric,Manual,1.8,70102,8486,High,75383.58384,90068
X1,2022,South America,Red,Hybrid,Automatic,2.1,116255,4215,Low,75494.21073,60197
X1,2022,Asia,Red,Hybrid,Manual,3.8,91370,9772,High,75477.30845,78495
X3,2010,Europe,Blue,Diesel,Automatic,4.6,86833,213,Low,75364.43773,80026
X5,2018,Europe,Red,Electric,Automatic,4.9,139262,9619,High,74611.29907,93197
5 Series,2012,Middle East,Blue,Petrol,Automatic,3.8,28691,4976,Low,75288.57834,37300
X5,2011,North America,Grey,Diesel,Automatic,2.1,188804,2029,Low,74060.88899,100312
i3,2017,Asia,Silver,Diesel,Automatic,4.9,18561,6181,Low,75912.23678,90174
M5,2017,Asia,Grey,Hybrid,Automatic,1.8,44575,3292,Low,74175.58283,48130
7 Series,2011,Middle East,Black,Hybrid,Manual,4.1,5242,5129,Low,74458.9119,50317
7 Series,2022,Middle East,Black,Petrol,Manual,1.8,55480,7516,High,75151.98301,87361
M5,2024,Middle East,Black,Electric,Automatic,2,6521,3491,Low,74676.61077,104658
7 Series,2021,Africa,Black,Hybrid,Automatic,3.1,29581,9469,High,75479.87782,72726
X1,2023,Africa,Red,Electric,Automatic,3.3,6320,9172,High,75874.01966,63428
X1,2022,Asia,Blue,Electric,Manual,1.5,16082,3234,Low,77013.93605,55992
X3,2023,Asia,Red,Petrol,Manual,4.9,115576,7587,High,75237.93257,37160
7 Series,2023,Middle East,Blue,Diesel,Automatic,2.4,56566,3328,Low,76316.03338,75003
M5,2013,Asia,Silver,Electric,Manual,3.4,57871,740,Low,74930.25869,73250
M5,2015,South America,Red,Hybrid,Manual,4.1,6318,9590,High,73532.26353,68291
X1,2023,South America,Red,Electric,Automatic,2.5,91220,4142,Low,76099.37415,51804
M5,2017,Middle East,Blue,Hybrid,Manual,2.1,98677,6663,Low,73906.04353,106713
X6,2013,Asia,Black,Electric,Manual,4.3,156900,2190,Low,74661.44714,68991
i3,2021,Africa,Black,Electric,Automatic,3.2,82151,6510,Low,75472.44804,53038
i8,2013,Middle East,Black,Hybrid,Automatic,4.5,68628,7578,High,74081.33454,93423
X6,2023,Middle East,Grey,Petrol,Automatic,4.2,199130,7414,High,73251.31579,86654
i3,2018,Europe,Grey,Petrol,Manual,3.5,43351,5823,Low,74319.24195,37780
X5,2021,Africa,Silver,Petrol,Manual,3.5,2968,9863,High,74588.27945,33869
7 Series,2012,North America,Black,Petrol,Automatic,5,186776,4729,Low,75452.65665,44892
X1,2019,Asia,Grey,Hybrid,Manual,1.9,189270,9018,High,74781.14566,39621
3 Series,2016,North America,Blue,Petrol,Automatic,2,102663,9838,High,75837.12463,112433
i3,2010,Middle East,White,Petrol,Automatic,4.6,4950,6133,Low,74640.07495,106877
X1,2022,Africa,Grey,Hybrid,Automatic,2,90780,3838,Low,74919.99763,117125
X3,2012,Asia,Grey,Petrol,Automatic,2,40952,1191,Low,74869.31137,79572
i8,2012,Asia,Blue,Hybrid,Automatic,4.9,57940,1086,Low,75762.65508,95134
7 Series,2023,Africa,Silver,Electric,Automatic,3.3,174658,6879,Low,76337.27407,60801
M5,2020,Asia,Grey,Electric,Manual,4.1,188595,1336,Low,74317.72607,115809
X6,2021,Europe,Silver,Diesel,Automatic,2,100813,465,Low,75113.76983,34677
X5,2017,Middle East,Red,Petrol,Automatic,4.9,66449,6249,Low,74037.1476,85474
M5,2014,Europe,White,Electric,Manual,4.4,73268,335,Low,74681.5677,98749
M3,2023,Middle East,White,Hybrid,Automatic,4.9,60737,1743,Low,75183.4624,41839
7 Series,2021,Africa,White,Hybrid,Manual,4.9,31794,3364,Low,75753.55709,59761
3 Series,2011,South America,White,Electric,Automatic,4.4,77190,8315,High,75522.08602,108796
7 Series,2017,Asia,White,Hybrid,Manual,3.3,131863,2081,Low,76123.65569,61484
i3,2021,Middle East,Grey,Diesel,Automatic,5,104030,1175,Low,74198.37171,52583
X1,2020,Asia,Black,Diesel,Automatic,2.2,181105,8029,High,76151.40622,80865
