Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
X3,2024,Africa,Black,Petrol,Manual,1.6,115436,70567,7200,High
M5,2010,North America,Blue,Electric,Automatic,4.8,142621,51978,145,Low
X3,2016,Europe,Silver,Hybrid,Manual,2.7,123668,112796,3735,Low
X3,2023,South America,Red,Hybrid,Automatic,3.8,124021,33679,6238,Low
i3,2014,Asia,Black,Petrol,Manual,1.9,161373,80739,5974,Low
X6,2024,South America,Grey,Diesel,Automatic,4.3,60351,111041,4363,Low
M5,2012,South America,Black,Electric,Manual,2.0,31072,36269,9959,High
3 Series,2012,Europe,Red,Electric,Manual,2.3,176749,94523,4569,Low
X6,2023,Asia,White,Diesel,Manual,3.0,25072,115597,2004,Low
X6,2019,North America,Blue,Electric,Manual,3.5,161383,79167,2112,Low
5 Series,2010,South America,Grey,Petrol,Manual,1.9,16630,80176,7151,High
5 Series,2020,Africa,Red,Petrol,Automatic,1.9,45435,86954,2582,Low
5 Series,2012,South America,Black,Petrol,Manual,4.1,24880,51607,1580,Low
X5,2014,Middle East,Black,Diesel,Automatic,3.6,175490,113530,5584,Low
X5,2019,South America,Black,Diesel,Automatic,2.4,162193,64161,3845,Low
3 Series,2019,North America,Red,Petrol,Manual,3.9,8679,67199,4933,Low
M3,2021,Asia,Red,Hybrid,Automatic,1.9,2224,32286,4759,Low
M5,2023,Middle East,Silver,Hybrid,Automatic,4.3,92945,51189,7148,High
3 Series,2014,South America,Grey,Electric,Automatic,2.9,84423,51767,7909,High
3 Series,2019,South America,Grey,Hybrid,Manual,4.3,131888,113938,5336,Low
7 Series,2014,Europe,Grey,Hybrid,Automatic,2.2,154250,118649,6953,Low
X1,2013,Europe,Black,Hybrid,Manual,3.5,6766,62988,7080,High
3 Series,2024,Middle East,Grey,Hybrid,Automatic,4.0,118414,45828,6783,Low
M5,2019,South America,Blue,Hybrid,Automatic,4.3,163173,35173,949,Low
X3,2012,Middle East,Blue,Hybrid,Automatic,4.5,785,96192,4380,Low
7 Series,2023,Europe,Blue,Petrol,Manual,4.2,176185,113541,8051,High
X5,2024,Asia,Silver,Electric,Manual,2.2,47268,38093,1024,Low
7 Series,2016,North America,Red,Electric,Manual,1.7,183942,38486,9514,High
M3,2022,Asia,White,Petrol,Automatic,3.3,116941,90495,4339,Low
i3,2012,North America,Black,Petrol,Automatic,4.6,121573,47645,4942,Low
7 Series,2017,Middle East,Red,Petrol,Manual,3.0,156943,73189,5417,Low
i3,2017,Asia,White,Petrol,Manual,2.2,126493,31735,4190,Low
7 Series,2018,Asia,Grey,Diesel,Manual,4.5,127347,98613,5756,Low
3 Series,2024,Africa,Blue,Diesel,Automatic,3.5,163782,77015,7880,High
M3,2024,Europe,Blue,Hybrid,Automatic,3.5,8562,56048,2454,Low
5 Series,2013,Asia,Red,Hybrid,Automatic,3.4,162281,105748,9919,High
3 Series,2013,Europe,Silver,Petrol,Automatic,4.8,426,50352,9148,High
3 Series,2010,Asia,Black,Electric,Manual,2.2,43022,39866,4221,Low
X1,2022,Middle East,Silver,Petrol,Manual,4.1,25765,109849,3254,Low
i8,2016,Asia,Black,Diesel,Manual,1.8,126148,46290,6303,Low
X1,2011,Africa,White,Hybrid,Manual,3.5,134220,96798,9454,High
i8,2011,North America,Silver,Hybrid,Automatic,1.5,56034,47408,6465,Low
X1,2010,Asia,White,Hybrid,Automatic,4.3,170747,113550,8593,High
M5,2020,Europe,Black,Petrol,Automatic,1.5,195527,39168,8489,High
i8,2013,Asia,Black,Diesel,Automatic,1.9,11382,49977,3855,Low
X5,2016,Africa,Blue,Petrol,Automatic,1.6,110493,76759,1172,Low
X3,2017,Middle East,Black,Petrol,Automatic,5.0,153408,72151,4348,Low
